AccidentType,inckey,Fatalities,Injuries,TrackDamage,EquipmentDamage,HazmatCars,HazmatCarsDerailed,HazmatCarsReleasing,County,DisplayDate,DisplayTime,calendar,Fiscal,AccidentCause,RailroadCodes,RAILEQUIPMENT_TYPE,CauseGroup,CauseDiscipline,TYPE_OF_TRACK,StateName,latitude,longitude,GeoLocation
Derailments,2012:10:BNSF:SW1012108,0,0,27000,8008,29,0,0,MCKINLEY,10/24/2012 0:00,13:00,2012,2013,"E07C,","BNSF,",1,"E0,","E,",YARD,New Mexico,35.531502,-108.730605,"New Mexico
(35.531502, -108.730605)"
Other impacts,2013:08:BNSF:SW0813103,0,0,0,30000,2,0,0,MCKINLEY,8/10/2013 0:00,11:50,2013,2013,"H312,","BNSF,",7,"H3,","H,",YARD,New Mexico,35.51,-108.73,"New Mexico
(35.51, -108.73)"
Derailments,2013:12:MRL:2013180,0,0,0,35000,28,3,0,YELLOWSTONE,12/9/2013 0:00,17:00,2013,2014,"H306,","MRL,",7,"H3,","H,",MAIN,Montana,45.677804,-108.727147,"Montana
(45.677804, -108.727147)"
Derailments,2013:11:MRL:2013165,0,0,2000,10000,3,0,0,YELLOWSTONE,11/7/2013 0:00,5:44,2013,2014,"H599,","MRL,",7,"H5,","H,",YARD,Montana,45.67878,-108.726196,"Montana
(45.67878, -108.726196)"
Derailments,2013:07:BNSF:SW0713110,0,0,500,12142,32,0,0,MCKINLEY,7/19/2013 0:00,17:00,2013,2013,"H702,","BNSF,",7,"H7,","H,",YARD,New Mexico,35.531137,-108.725193,"New Mexico
(35.531137, -108.725193)"
Derailments,2013:12:MRL:2013177,0,0,850,38000,6,0,0,YELLOWSTONE,12/3/2013 0:00,13:55,2013,2014,"H303,","MRL,",7,"H3,","H,",YARD,Montana,45.678108,-108.724893,"Montana
(45.678108, -108.724893)"
Derailments,2016:05:MRL:2016055,0,0,0,65000,1,1,0,YELLOWSTONE,5/12/2016 0:00,9:50,2016,2016,"H318,","MRL,",7,"H3,","H,",YARD,Montana,45.679767,-108.723203,"Montana
(45.679767, -108.723203)"
Rear end collision,2014:11:MRL:2014155,0,0,500,200000,45,0,0,YELLOWSTONE,11/9/2014 0:00,17:30,2014,2015,"H306,","MRL,",17,"H3,","H,",YARD,Montana,45.679168,-108.721804,"Montana
(45.679168, -108.721804)"
Side collision,2011:09:MRL:2011120,0,0,0,13000,0,0,0,YELLOWSTONE,9/5/2011 0:00,2:15,2011,2011,"H021,","MRL,",6,"H0,","H,",YARD,Montana,45.679085,-108.72102,"Montana
(45.679085, -108.72102)"
Derailments,2011:12:MRL:2011165,0,0,3000,15000,0,0,0,YELLOWSTONE,12/16/2011 0:00,14:00,2011,2012,"H312,","MRL,",7,"H3,","H,",YARD,Montana,45.6806,-108.72081,"Montana
(45.6806, -108.72081)"
Other impacts,2013:09:MRL:2013126,0,0,0,300000,32,3,0,YELLOWSTONE,9/1/2013 0:00,20:40,2013,2013,"H020,","MRL,",7,"H0,","H,",YARD,Montana,45.608754,-108.719783,"Montana
(45.608754, -108.719783)"
Side collision,2012:03:MRL:2012043,0,0,20000,206000,28,7,0,YELLOWSTONE,3/19/2012 0:00,7:25,2012,2012,"H020,","MRL,",61,"H0,","H,",YARD,Montana,45.68071,-108.718893,"Montana
(45.68071, -108.718893)"
Side collision,2014:05:MRL:2014066,0,0,0,120000,0,0,0,YELLOWSTONE,5/3/2014 0:00,3:30,2014,2014,"H018,","MRL,",76,"H0,","H,",YARD,Montana,45.68147,-108.718728,"Montana
(45.68147, -108.718728)"
Derailments,2013:05:MRL:2013054,0,0,5000,150000,0,0,0,YELLOWSTONE,5/7/2013 0:00,13:30,2013,2013,"H018,","MRL,",6,"H0,","H,",YARD,Montana,45.681325,-108.718013,"Montana
(45.681325, -108.718013)"
Derailments,2013:11:SW:SW113003,3,0,55137,325000,0,0,0,GRANT,11/30/2013 0:00,24:30:00,2013,2014,"H099,","SW,",1,"H0,","H,",MAIN,New Mexico,32.472831,-108.6868,"New Mexico
(32.472831, -108.6868)"
Derailments,2014:04:BNSF:MT0414101,0,0,1000,12500,44,0,0,YELLOWSTONE,4/5/2014 0:00,13:15,2014,2014,"T111,","BNSF,",1,"T1,","T,",INDUSTRY,Montana,45.931349,-108.682538,"Montana
(45.931349, -108.682538)"
Derailments,2015:10:BNSF:SW1015104,0,0,1409409,1554835,26,5,1,MCKINLEY,10/23/2015 0:00,5:35,2015,2016,"H305,E53C,","BNSF,",1,"H3,E5,","H,E,",MAIN,New Mexico,35.530886,-108.677876,"New Mexico
(35.530886, -108.677876)"
Derailments,2013:12:BNSF:SW1213107,0,0,1200,8800,0,0,0,MCKINLEY,12/24/2013 0:00,21:40,2013,2014,"T314,","BNSF,",1,"T3,","T,",SIDING,New Mexico,35.534053,-108.647536,"New Mexico
(35.534053, -108.647536)"
Derailments,2014:12:BNSF:PR1214100,0,0,250,11250,15,0,0,PARK,12/7/2014 0:00,9:40,2014,2015,"E06C,","BNSF,",1,"E0,","E,",MAIN,Wyoming,44.970332,-108.622733,"Wyoming
(44.970332, -108.622733)"
Derailments,2011:10:UP:1011DV005,0,0,145,12216,0,0,0,MESA,10/10/2011 0:00,4:00,2011,2012,"H318,","UP,",7,"H3,","H,",YARD,Colorado,39.067857,-108.575339,"Colorado
(39.067857, -108.575339)"
Derailments,2016:07:UP:0716DV002,0,0,36001,155955,0,0,0,MESA,7/5/2016 0:00,14:05,2016,2016,"H309,","UP,",NA,"H3,","H,",YARD,Colorado,39.062629,-108.555912,"Colorado
(39.062629, -108.555912)"
Derailments,2016:06:UP:0616DV018,0,0,10650,139,0,0,0,MESA,6/30/2016 0:00,11:20,2016,2016,"T319,","UP,",7,"T3,","T,",YARD,Colorado,39.064317,-108.548822,"Colorado
(39.064317, -108.548822)"
Other events,2012:05:BNSF:MT0512104,0,0,28600,0,0,0,0,BLAINE,5/25/2012 0:00,1:45,2012,2012,"H607,H702,","BNSF,",8,"H6,H7,","H,",MAIN,Montana,48.473724,-108.544751,"Montana
(48.473724, -108.544751)"
Derailments,2013:09:UP:0913DV009,0,0,100,16185,0,0,0,MESA,9/22/2013 0:00,2:45,2013,2013,"H702,","UP,",7,"H7,","H,",YARD,Colorado,39.065316,-108.544403,"Colorado
(39.065316, -108.544403)"
Derailments,2011:07:UP:0711DV001,0,0,60255,22724,0,0,0,MESA,7/3/2011 0:00,16:00,2011,2011,"T109,","UP,",1,"T1,","T,",MAIN,Colorado,39.021644,-108.539587,"Colorado
(39.021644, -108.539587)"
Derailments,2016:02:UP:0216DV004,0,0,186866,1085,0,0,0,MESA,2/3/2016 0:00,18:55,2016,2016,"T111,","UP,",7,"T1,","T,",YARD,Colorado,39.067699,-108.534619,"Colorado
(39.067699, -108.534619)"
Derailments,2016:03:UP:0316DV004,0,0,113520,17993,0,0,0,MESA,3/16/2016 0:00,21:30,2016,2016,"T319,","UP,",7,"T3,","T,",YARD,Colorado,39.067911,-108.533729,"Colorado
(39.067911, -108.533729)"
Derailments,2013:02:UP:0213DV014,0,0,132,127214,2,0,0,MESA,2/23/2013 0:00,18:45,2013,2013,"T313,","UP,",1,"T3,","T,",YARD,Colorado,39.06883,-108.528319,"Colorado
(39.06883, -108.528319)"
Derailments,2012:09:UP:0912DV012,0,0,1900,10600,12,1,0,MESA,9/22/2012 0:00,19:05,2012,2012,"H503,","UP,",7,"H5,","H,",YARD,Colorado,39.069473,-108.526583,"Colorado
(39.069473, -108.526583)"
Derailments,2015:06:UP:0615DV010,0,0,307344,445505,0,0,0,MESA,6/13/2015 0:00,15:30,2015,2015,"T220,","UP,",1,"T2,","T,",MAIN,Colorado,39.00111,-108.512583,"Colorado
(39.00111, -108.512583)"
Other impacts,2014:02:MRL:2014026,0,0,0,85000,3,0,0,YELLOWSTONE,2/18/2014 0:00,21:30,2014,2014,"H318,","MRL,",7,"H3,","H,",INDUSTRY,Montana,45.783285,-108.50069,"Montana
(45.783285, -108.50069)"
Other impacts,2014:04:MRL:2014050,0,0,1000,380000,0,0,0,YELLOWSTONE,4/7/2014 0:00,21:30,2014,2014,"H318,H021,H018,","BNSF,MRL,",16,"H3,H0,","H,",MAIN,Montana,45.783285,-108.50069,"Montana
(45.783285, -108.50069)"
Derailments,2011:07:BNSF:MT0711100,0,0,294137,185669,0,0,0,VALLEY,7/5/2011 0:00,15:45,2011,2011,"T109,T001,","BNSF,",1,"T1,T0,","T,",MAIN,Montana,48.459229,-108.486417,"Montana
(48.459229, -108.486417)"
Other impacts,2015:07:MRL:2015098,0,0,0,21000,9,2,0,YELLOWSTONE,7/7/2015 0:00,9:20,2015,2015,"H702,","MRL,",7,"H7,","H,",YARD,Montana,45.810601,-108.434436,"Montana
(45.810601, -108.434436)"
Other impacts,2012:03:BNSF:SW0312107,0,0,0,90847,12,0,0,MCKINLEY,3/21/2012 0:00,12:12,2012,2012,"E33C,","BNSF,",1,"E3,","E,",MAIN,New Mexico,35.496137,-108.402228,"New Mexico
(35.496137, -108.402228)"
Derailments,2015:03:SW:SWW032315D,0,0,11145,0,0,0,0,GRANT,3/23/2015 0:00,16:00,2015,2015,"T001,","SW,",8,"T0,","T,",INDUSTRY,New Mexico,32.643966,-108.367826,"New Mexico
(32.643966, -108.367826)"
Derailments,2012:02:MRL:2012024,0,0,10000,7400,0,0,0,PARK,2/18/2012 0:00,17:35,2012,2012,"H022,","MRL,",5,"H0,","H,",SIDING,Montana,45.45454,-108.323258,"Montana
(45.45454, -108.323258)"
Head on collision,2014:12:SW:20141205,0,0,4000,25000,9,1,0,GRANT,12/5/2014 0:00,3:00,2014,2015,"E09L,","SW,",1,"E0,","E,",SIDING,New Mexico,32.709,-108.3019,"New Mexico
(32.709, -108.3019)"
Fire/violent rupture,2014:04:UP:0414DV006,0,0,0,24803,56,0,0,SWEETWATER,4/11/2014 0:00,14:30,2014,2014,"E73L,","UP,",1,"E7,","E,",MAIN,Wyoming,41.626332,-108.300286,"Wyoming
(41.626332, -108.300286)"
Derailments,2014:09:SW:20140916,0,0,30000,300000,0,0,0,LUNA,9/16/2014 0:00,8:38,2014,2014,"T202,","SW,",1,"T2,","T,",MAIN,New Mexico,32.436389,-108.2661119,"New Mexico
(32.436389, -108.2661119)"
Derailments,2013:07:UP:0713DV012,0,0,144559,955363,0,0,0,DELTA,7/28/2013 0:00,4:00,2013,2013,"T207,T299,","UP,",1,"T2,","T,",MAIN,Colorado,38.741135,-108.200075,"Colorado
(38.741135, -108.200075)"
Derailments,2012:02:UP:0212DV010,0,0,272150,4000,0,0,0,MESA,2/18/2012 0:00,16:45,2012,2012,"E61C,","UP,",1,"E6,","E,",MAIN,Colorado,39.349324,-108.185676,"Colorado
(39.349324, -108.185676)"
Derailments,2013:11:BNSF:PR1113113,0,0,149200,6500,0,0,0,BIG HORN,11/15/2013 0:00,22:50,2013,2014,"E67C,","BNSF,",1,"E6,","E,",MAIN,Wyoming,44.646534,-108.151428,"Wyoming
(44.646534, -108.151428)"
Derailments,2015:06:SW:SWW060115D,0,0,5400,8055,0,0,0,GRANT,6/1/2015 0:00,16:30,2015,2015,"H702,","SW,",7,"H7,","H,",YARD,New Mexico,32.6997,-108.1286,"New Mexico
(32.6997, -108.1286)"
Other events,2015:09:BNSF:PR0915101,0,0,500,70000,0,0,0,YELLOWSTONE,9/8/2015 0:00,24:55:00,2015,2015,"H997,","BNSF,",9,"H9,","H,",MAIN,Montana,45.951704,-108.123883,"Montana
(45.951704, -108.123883)"
Obstruction impact,2015:09:BNSF:PR0915120,0,0,0,72000,0,0,0,YELLOWSTONE,9/8/2015 0:00,15:42,2015,2015,"H402,","BNSF,",NA,"H4,","H,",MAIN,Montana,45.951704,-108.123883,"Montana
(45.951704, -108.123883)"
Derailments,2011:09:BNSF:CO0911107,0,0,2300,8000,0,0,0,BIG HORN,9/16/2011 0:00,1:20,2011,2011,"T102,M101,","BNSF,",7,"T1,M1,","T,M,",YARD,Wyoming,44.502169,-108.060458,"Wyoming
(44.502169, -108.060458)"
Derailments,2013:10:BNSF:PR1013108,0,0,4700,10224,0,0,0,BIG HORN,10/25/2013 0:00,15:30,2013,2014,"H307,H303,","BNSF,",7,"H3,","H,",YARD,Wyoming,44.498046,-108.058535,"Wyoming
(44.498046, -108.058535)"
Derailments,2014:08:BNSF:PR0814119,0,0,31500,0,0,0,0,BIG HORN,8/30/2014 0:00,9:00,2014,2014,"H607,H702,","BNSF,",8,"H6,H7,","H,",YARD,Wyoming,44.489433,-108.056973,"Wyoming
(44.489433, -108.056973)"
Side collision,2014:06:BNSF:PR0614120,0,0,0,16772,0,0,0,BIG HORN,6/24/2014 0:00,8:30,2014,2014,"H318,","BNSF,",17,"H3,","H,",YARD,Wyoming,44.487992,-108.056757,"Wyoming
(44.487992, -108.056757)"
Derailments,2016:02:BNSF:SW0216107,0,0,0,18000,0,0,0,MCKINLEY,2/24/2016 0:00,15:00,2016,2016,"H402,","BNSF,",9,"H4,","H,",MAIN,New Mexico,35.356525,-108.019957,"New Mexico
(35.356525, -108.019957)"
Derailments,2013:02:BNSF:MT0213104,0,0,548901,594239,0,0,0,PHILLIPS,2/13/2013 0:00,9:28,2013,2013,"E61C,","BNSF,",1,"E6,","E,",MAIN,Montana,48.364556,-108.018826,"Montana
(48.364556, -108.018826)"
Derailments,2012:08:BNSF:SW0812103,0,0,202000,2495691,0,0,0,CIBOLA,8/10/2012 0:00,16:45,2012,2012,"T001,","BNSF,",1,"T0,","T,",MAIN,New Mexico,35.349844,-108.010839,"New Mexico
(35.349844, -108.010839)"
Other impacts,2013:12:BNSF:PR1213112,0,0,0,34938,0,0,0,GARFIELD,12/18/2013 0:00,12:30,2013,2014,"H307,","BNSF,",16,"H3,","H,",YARD,Colorado,39.28468,-108.00851,"Colorado
(39.28468, -108.00851)"
Derailments,2014:07:BNSF:PR0714101,0,0,567000,637162,0,0,0,YELLOWSTONE,7/10/2014 0:00,19:24,2014,2014,"T109,","BNSF,",1,"T1,","T,",MAIN,Montana,45.931681,-108.007519,"Montana
(45.931681, -108.007519)"
Highway-rail impact,2013:06:BNSF:PR0613202,0,0,0,20000,0,0,0,BIG HORN,6/25/2013 0:00,16:50,2013,2013,"M302,","BNSF,",1,"M3,","M,",MAIN,Montana,45.884805,-107.972556,"Montana
(45.884805, -107.972556)"
Other events,2011:08:BNSF:SW0811110,0,0,0,9800,0,0,0,CIBOLA,8/16/2011 0:00,13:00,2011,2011,"H997,","BNSF,",9,"H9,","H,",MAIN,New Mexico,35.186033,-107.897495,"New Mexico
(35.186033, -107.897495)"
Derailments,2011:11:XMST:INDUSTRY,0,0,174000,610200,0,0,0,MCKINLEY,11/3/2011 0:00,8:03,2011,2012,"T220,","BNSF,",1,"T2,","T,",MAIN,New Mexico,35.490757,-107.84733,"New Mexico
(35.490757, -107.84733)"
Derailments,2013:03:SW:SW0306,0,0,35000,175000,10,10,7,LUNA,3/6/2013 0:00,15:07,2013,2013,"T110,M204,","SW,",1,"T1,M2,","T,M,",MAIN,New Mexico,32.296659,-107.798178,"New Mexico
(32.296659, -107.798178)"
Other impacts,2015:04:UP:0415ST023,0,0,16500,20000,0,0,0,LUNA,4/18/2015 0:00,13:29,2015,2015,"H997,","UP,",NA,"H9,","H,",YARD,New Mexico,32.278886,-107.70631,"New Mexico
(32.278886, -107.70631)"
Other impacts,2012:03:BNSF:SW0312100,0,1,0,42000,0,0,0,CIBOLA,3/12/2012 0:00,14:15,2012,2012,"H104,H997,","BNSF,",9,"H1,H9,","H,",MAIN,New Mexico,35.064944,-107.665661,"New Mexico
(35.064944, -107.665661)"
Other events,2011:06:BNSF:MT0611105,0,0,42760,0,0,0,0,PHILLIPS,6/10/2011 0:00,19:30,2011,2011,"H220,","BNSF,",1,"H2,","H,",MAIN,Montana,48.393527,-107.602978,"Montana
(48.393527, -107.602978)"
Derailments,2016:06:BNSF:MT0616103,0,0,1000,112318,0,0,0,PHILLIPS,6/18/2016 0:00,20:30,2016,2016,"M105,","BNSF,",1,"M1,","M,",SIDING,Montana,48.398307,-107.57913,"Montana
(48.398307, -107.57913)"
Other events,2013:06:UP:0613ES020,0,0,16500,23628,0,0,0,SWEETWATER,6/29/2013 0:00,13:45,2013,2013,"H402,","UP,",NA,"H4,","H,",MAIN,Wyoming,41.727908,-107.575629,"Wyoming
(41.727908, -107.575629)"
Derailments,2013:01:UP:0113DV013,0,0,56941,212854,0,0,0,SWEETWATER,1/4/2013 0:00,17:05,2013,2013,"E21C,","UP,",1,"E2,","E,",MAIN,Wyoming,41.733084,-107.559624,"Wyoming
(41.733084, -107.559624)"
Derailments,2012:05:UP:0512DV001,0,0,0,11026,0,0,0,DELTA,5/1/2012 0:00,4:59,2012,2012,"E54C,","UP,",1,"E5,","E,",MAIN,Colorado,38.91748,-107.543888,"Colorado
(38.91748, -107.543888)"
Obstruction impact,2012:08:UP:0812DV003,0,0,0,33432,0,0,0,DELTA,8/7/2012 0:00,18:00,2012,2012,"M404,","UP,",1,"M4,","M,",INDUSTRY,Colorado,38.919279,-107.53888,"Colorado
(38.919279, -107.53888)"
Obstruction impact,2014:05:WFA:WFA002,0,0,2500,25272,0,0,0,MCKINLEY,5/29/2014 0:00,13:00,2014,2014,"H702,H305,","WFA,",1,"H7,H3,","H,",SIDING,New Mexico,35.27523,-107.52135,"New Mexico
(35.27523, -107.52135)"
Derailments,2013:10:UP:1013DV010,0,0,73561,26421,0,0,0,DELTA,10/21/2013 0:00,16:45,2013,2014,"T106,","UP,",16,"T1,","T,",MAIN,Colorado,38.926104,-107.520062,"Colorado
(38.926104, -107.520062)"
Derailments,2013:11:SW:110701,0,0,21000,70000,9,0,0,LUNA,11/7/2013 0:00,2:30,2013,2014,"T213,","SW,",1,"T2,","T,",MAIN,New Mexico,32.204329,-107.510839,"New Mexico
(32.204329, -107.510839)"
Derailments,2013:12:BNSF:SW1213111,0,0,22500,2000,0,0,0,CIBOLA,12/27/2013 0:00,4:35,2013,2014,"E53C,","BNSF,",1,"E5,","E,",MAIN,New Mexico,35.146492,-107.500481,"New Mexico
(35.146492, -107.500481)"
Obstruction impact,2012:07:UP:0712DV010,0,0,100,10653,0,0,0,CARBON,7/19/2012 0:00,21:00,2012,2012,"M402,","UP,",1,"M4,","M,",MAIN,Wyoming,41.755737,-107.45818,"Wyoming
(41.755737, -107.45818)"
Derailments,2013:05:SW:SW517,0,0,25000,2400,20,3,0,LUNA,5/17/2013 0:00,11:00,2013,2013,"E99C,M204,","SW,",7,"E9,M2,","E,M,",YARD,New Mexico,32.161793,-107.45349,"New Mexico
(32.161793, -107.45349)"
Derailments,2012:07:BNSF:MT0712100,0,0,92900,131988,3,0,0,PHILLIPS,7/5/2012 0:00,10:30,2012,2012,"T102,","BNSF,",1,"T1,","T,",SIDING,Montana,48.470766,-107.385269,"Montana
(48.470766, -107.385269)"
Highway-rail impact,2015:09:BNSF:PR0915202,0,0,200000,22359,0,0,0,BIG HORN,9/18/2015 0:00,18:45,2015,2015,"M302,","BNSF,",1,"M3,","M,",MAIN,Montana,45.219478,-107.382989,"Montana
(45.219478, -107.382989)"
Derailments,2014:02:BNSF:MT0214107,0,0,20000,40684,0,0,0,PHILLIPS,2/23/2014 0:00,9:40,2014,2014,"T299,","BNSF,",1,"T2,","T,",SIDING,Montana,48.456436,-107.34511,"Montana
(48.456436, -107.34511)"
Obstruction impact,2011:07:BNSF:SW0711103,0,1,0,39800,0,0,0,CIBOLA,7/25/2011 0:00,7:45,2011,2011,"H997,","BNSF,",9,"H9,","H,",MAIN,New Mexico,35.006815,-107.281883,"New Mexico
(35.006815, -107.281883)"
Derailments,2011:06:SOO:226829,0,0,45064,10132,1,1,0,MOUNTRAIL,6/23/2011 0:00,7:30,2011,2011,"T001,","SOO,",1,"T0,","T,",MAIN,North Dakota,47.582919,-107.27552,"North Dakota
(47.582919, -107.27552)"
Other events,2013:05:UP:0513ST018,0,0,13000,0,0,0,0,DONA ANA,5/18/2013 0:00,10:00,2013,2013,"H402,","UP,",NA,"H4,","H,",MAIN,New Mexico,32.21213,-107.266255,"New Mexico
(32.21213, -107.266255)"
Derailments,2013:10:BNSF:SW1013104,0,0,183577,697380,3,0,0,CIBOLA,10/10/2013 0:00,24:25:00,2013,2014,"M105,","BNSF,",1,"M1,","M,",MAIN,New Mexico,34.99226,-107.2556,"New Mexico
(34.99226, -107.2556)"
Highway-rail impact,2013:10:BNSF:MT1013201,0,1,0,20000,41,0,0,TREASURE,10/13/2013 0:00,6:00,2013,2014,"M302,","BNSF,",1,"M3,","M,",MAIN,Montana,46.29498,-107.229094,"Montana
(46.29498, -107.229094)"
Derailments,2011:10:UP:1011DV001,0,0,94142,41128,0,0,0,CARBON,10/1/2011 0:00,16:05,2011,2012,"E41C,","UP,",1,"E4,","E,",MAIN,Wyoming,41.787714,-107.20501,"Wyoming
(41.787714, -107.20501)"
Other events,2012:12:UP:1212DV013,0,0,0,22000,52,0,0,GARFIELD,12/29/2012 0:00,24:30:00,2012,2013,"E66L,","BNSF,UP,",1,"E6,","E,",MAIN,Colorado,39.580854,-107.201423,"Colorado
(39.580854, -107.201423)"
Derailments,2016:07:SW:SWW071316D,0,0,10931,3221,0,0,0,DONA ANA,7/13/2016 0:00,17:30,2016,2016,"T110,","SW,",1,"T1,","T,",YARD,New Mexico,32.6654,-107.1531,"New Mexico
(32.6654, -107.1531)"
Derailments,2012:07:UP:0712DV012,0,0,27314,100,0,0,0,CARBON,7/22/2012 0:00,7:30,2012,2012,"E53C,","UP,",1,"E5,","E,",MAIN,Wyoming,41.778398,-107.10877,"Wyoming
(41.778398, -107.10877)"
Derailments,2013:04:XACL:INDUSTRY,0,0,5000,37839,0,0,0,TREASURE,4/16/2013 0:00,5:10,2013,2013,"T212,","BNSF,",1,"T2,","T,",INDUSTRY,Montana,45.821078,-107.09398,"Montana
(45.821078, -107.09398)"
Obstruction impact,2013:12:XPEG:INDUSTRY,0,0,100,10801,0,0,0,ROUTT,12/15/2013 0:00,9:20,2013,2014,"M504,","UP,",1,"M5,","M,",INDUSTRY,Colorado,40.347383,-107.071512,"Colorado
(40.347383, -107.071512)"
Derailments,2011:12:BNSF:SW1211108,0,0,125000,355480,0,0,0,DONA ANA,12/22/2011 0:00,21:54,2011,2012,"T001,","BNSF,",1,"T0,","T,",YARD,New Mexico,32.671885,-107.064904,"New Mexico
(32.671885, -107.064904)"
Derailments,2016:02:XPEG:INDUSTRY,0,0,0,61192,0,0,0,ROUTT,2/1/2016 0:00,17:44,2016,2016,"M101,","UP,",1,"M1,","M,",INDUSTRY,Colorado,40.354686,-107.058898,"Colorado
(40.354686, -107.058898)"
Derailments,2012:11:BNSF:SW1112106,0,0,145000,551152,6,1,0,DONA ANA,11/27/2012 0:00,21:20,2012,2013,"T207,","BNSF,",1,"T2,","T,",MAIN,New Mexico,32.698851,-107.037555,"New Mexico
(32.698851, -107.037555)"
Derailments,2013:03:BNSF:SW0313106,0,0,270222,5200,0,0,0,DONA ANA,3/16/2013 0:00,15:00,2013,2013,"E61C,","BNSF,",1,"E6,","E,",MAIN,New Mexico,32.633905,-107.018444,"New Mexico
(32.633905, -107.018444)"
Fire/violent rupture,2015:04:UP:0415ST019,0,0,0,39456,0,0,0,DONA ANA,4/17/2015 0:00,6:42,2015,2015,"M406,","UP,",1,"M4,","M,",MAIN,New Mexico,32.091586,-106.981903,"New Mexico
(32.091586, -106.981903)"
Derailments,2012:10:BNSF:PR1012105,0,0,69826,28000,0,0,0,SHERIDAN,10/13/2012 0:00,14:00,2012,2013,"M204,","BNSF,",1,"M2,","M,",YARD,Wyoming,44.81764,-106.9527,"Wyoming
(44.81764, -106.9527)"
Fire/violent rupture,2015:06:UP:0615DV020,0,0,0,33893,0,0,0,ROUTT,6/12/2015 0:00,24:02:00,2015,2015,"E79L,","UP,",1,"E7,","E,",MAIN,Colorado,40.49278,-106.951393,"Colorado
(40.49278, -106.951393)"
Derailments,2014:07:UP:0714DV003,0,0,57294,4109,0,0,0,ROUTT,7/1/2014 0:00,16:00,2014,2014,"T099,","UP,",1,"T0,","T,",YARD,Colorado,40.232347,-106.942509,"Colorado
(40.232347, -106.942509)"
Derailments,2013:10:BNSF:SW1013107,0,0,953679,2257304,23,0,0,SOCORRO,10/19/2013 0:00,4:20,2013,2014,"T201,","BNSF,",1,"T2,","T,",MAIN,New Mexico,33.785339,-106.903862,"New Mexico
(33.785339, -106.903862)"
Derailments,2013:06:BNSF:SW0613108,0,0,485630,3000,5,0,0,SOCORRO,6/22/2013 0:00,2:30,2013,2013,"M201,","BNSF,",1,"M2,","M,",MAIN,New Mexico,34.367942,-106.857886,"New Mexico
(34.367942, -106.857886)"
Fire/violent rupture,2015:01:UP:0115DV016,0,0,0,11829,3,0,0,CARBON,1/16/2015 0:00,19:00,2015,2015,"E74L,","UP,",1,"E7,","E,",MAIN,Wyoming,41.761067,-106.842533,"Wyoming
(41.761067, -106.842533)"
Derailments,2015:06:BNSF:PR0615102,0,0,538485,137130,0,0,0,SHERIDAN,6/7/2015 0:00,7:40,2015,2015,"T001,T101,","BNSF,",51,"T0,T1,T0,T1,","T,",MAIN,Wyoming,44.836861,-106.829443,"Wyoming
(44.836861, -106.829443)"
Derailments,2015:05:BNSF:PR0515113,0,0,579798,424587,0,0,0,BIG HORN,5/22/2015 0:00,13:35,2015,2015,"T101,","BNSF,",16,"T1,","T,",MAIN,Montana,45.028897,-106.818955,"Montana
(45.028897, -106.818955)"
Derailments,2014:10:UP:1014DV016,0,0,23216,3979,0,0,0,CARBON,10/17/2014 0:00,15:00,2014,2015,"E61C,","UP,",1,"E6,","E,",MAIN,Wyoming,41.775507,-106.815669,"Wyoming
(41.775507, -106.815669)"
Derailments,2011:09:BNSF:SW0911110,0,0,31000,76439,0,0,0,VALENCIA,9/26/2011 0:00,18:30,2011,2011,"E06C,","BNSF,",1,"E0,","E,",MAIN,New Mexico,34.732658,-106.809836,"New Mexico
(34.732658, -106.809836)"
Side collision,2013:08:BNSF:SW0813106,0,0,5000,103958,2,1,0,VALENCIA,8/21/2013 0:00,17:45,2013,2013,"H306,","BNSF,",7,"H3,","H,",YARD,New Mexico,34.6656,-106.7761,"New Mexico
(34.6656, -106.7761)"
Derailments,2013:12:BNSF:SW1213106,0,0,4000,15900,0,0,0,VALENCIA,12/7/2013 0:00,12:59,2013,2014,"T309,","BNSF,",1,"T3,","T,",YARD,New Mexico,34.633649,-106.773099,"New Mexico
(34.633649, -106.773099)"
Derailments,2013:04:BNSF:SW0413106,0,0,20000,11700,0,0,0,VALENCIA,4/23/2013 0:00,6:10,2013,2013,"H607,H702,","BNSF,",1,"H6,H7,","H,",YARD,New Mexico,34.632864,-106.772658,"New Mexico
(34.632864, -106.772658)"
Side collision,2014:04:BNSF:SW0414109,0,0,4000,117190,2,0,0,VALENCIA,4/24/2014 0:00,18:55,2014,2014,"H702,","BNSF,",17,"H7,","H,",YARD,New Mexico,34.635753,-106.771857,"New Mexico
(34.635753, -106.771857)"
Derailments,2014:08:BNSF:SW0814108,0,0,3000,14952,2,0,0,VALENCIA,8/18/2014 0:00,15:22,2014,2014,"H318,H312,","BNSF,",7,"H3,","H,",YARD,New Mexico,34.62979,-106.771493,"New Mexico
(34.62979, -106.771493)"
Other impacts,2014:06:BNSF:SW0614103,0,0,0,23050,1,1,0,VALENCIA,6/1/2014 0:00,22:45,2014,2014,"H020,H318,","BNSF,",67,"H0,H3,H0,H3,","H,",YARD,New Mexico,34.641123,-106.769441,"New Mexico
(34.641123, -106.769441)"
Derailments,2012:07:BNSF:SW0712103,0,0,57971,200,0,0,0,DONA ANA,7/4/2012 0:00,2:55,2012,2012,"T319,","BNSF,",7,"T3,","T,",MAIN,New Mexico,32.276908,-106.767876,"New Mexico
(32.276908, -106.767876)"
